CustomerID,Recency,Frequency,Monetary,Cluster,Segment,PCA1,PCA2
12346.0,326,1,77183.6,3,Occasional,4.107553583697388,5.439993236315901
12347.0,2,7,4310.0,0,Regular,0.7430439297398059,-0.6707557125182533
12348.0,75,4,1797.24,0,Regular,0.02522964938167257,-0.17467490673720376
12349.0,19,1,1757.55,0,Regular,-0.027490801829762834,-0.7346032008154795
12350.0,310,1,334.4,1,High-Value,-1.2355926551807852,1.8346850586250072
12352.0,36,8,2506.04,0,Regular,0.5744479120671846,-0.42718365381423706
12353.0,204,1,89.0,1,High-Value,-0.8492386842218462,0.8643992940851725
12354.0,232,1,1079.4,1,High-Value,-0.8862074546365422,1.1623799239549368
12355.0,214,1,459.4,1,High-Value,-0.8612684699517146,0.9715723049881604
12356.0,23,3,2811.43,0,Regular,0.20682635276875436,-0.616699324087166
12357.0,33,1,6207.67,0,Regular,0.23213647794423764,-0.40752291797141615
12358.0,2,2,1168.06,0,Regular,0.08350523755515446,-0.8978625049517845
12359.0,58,4,6310.03,0,Regular,0.40730097373729723,-0.1253037047919883
12360.0,52,3,2662.06,0,Regular,0.08590082153852285,-0.36099312371462544
12361.0,287,1,189.9,1,High-Value,-1.1581780712063228,1.6200422418937688
12362.0,3,10,5226.23,0,Regular,1.0668236447811035,-0.569073324917668
12363.0,110,2,552.0,0,Regular,-0.37104226325834677,0.0517305144195845
12364.0,8,4,1313.1,0,Regular,0.24629708044591997,-0.8027848938372394
12365.0,291,2,641.38,1,High-Value,-1.0539411677758315,1.6936949992517227
12367.0,4,1,168.9,0,Regular,-0.08209064082545034,-0.9418809378542178
12370.0,51,4,3541.94,0,Regular,0.23930123212514914,-0.31329647617207806
12371.0,45,2,1887.96,0,Regular,-0.029599916581399245,-0.4763216250817949
12372.0,72,3,1298.04,0,Regular,-0.08617059205355622,-0.24142710409696283
12373.0,311,1,364.6,1,High-Value,-1.2372766254776177,1.8450943546531304
12374.0,25,1,742.9300000000001,0,Regular,-0.12168519717937634,-0.725995175151214
12375.0,11,2,457.5,0,Regular,-0.000730470238738691,-0.8484144917043238
12377.0,315,2,1628.12,1,High-Value,-1.0759367221301992,1.9553132568486467
12378.0,130,1,4008.62,0,Regular,-0.29184343707035365,0.3712447965937554
12379.0,82,2,852.24,0,Regular,-0.2433151363430066,-0.18813262225630836
12380.0,22,4,2724.81,0,Regular,0.2922620702125426,-0.612524152069844
12381.0,5,5,1845.31,0,Regular,0.38286448242896065,-0.7888426006625077
12383.0,185,5,1850.56,1,High-Value,-0.30214283244476253,0.8402841213281856
12384.0,29,2,585.27,0,Regular,-0.0602832789336015,-0.679771979719215
12386.0,338,2,401.9,1,High-Value,-1.2497409224365301,2.1082325795996093
12388.0,16,6,2780.66,0,Regular,0.4944738006524239,-0.6300554524979041
12390.0,80,1,549.84,0,Regular,-0.34468396485975833,-0.23697352894489954
12391.0,22,1,439.66,0,Regular,-0.13158833159740121,-0.7667995890503277
12393.0,72,4,1582.6000000000001,0,Regular,0.021559014449679583,-0.21148831352219355
12394.0,64,2,1272.48,0,Regular,-0.145226030194231,-0.3320982549837053
12395.0,19,12,3018.63,0,Regular,1.0261003651435796,-0.48944113923144306
12397.0,36,2,2409.9,0,Regular,0.04137195218445236,-0.5342631931286017
12398.0,46,1,1635.6599999999999,0,Regular,-0.1388686333008943,-0.4957583578699493
12399.0,119,4,1108.65,0,Regular,-0.19072877083823198,0.1924910874502149
12401.0,303,1,84.3,1,High-Value,-1.2265262636457683,1.7600773262079408
12402.0,323,1,225.6,1,High-Value,-1.29274293136948,1.947427875093717
12403.0,50,1,427.7,0,Regular,-0.23904348568375286,-0.5139552097832171
12405.0,149,1,1710.39,1,High-Value,-0.525801249996285,0.439693968098909
12406.0,22,2,3415.3,0,Regular,0.1653791708425431,-0.615681520300263
12407.0,50,5,1708.1200000000001,0,Regular,0.20187309870585737,-0.3877976849490377
12408.0,33,5,2888.55,0,Regular,0.3496114434014013,-0.48848258665745853
12409.0,79,3,11072.67,0,Regular,0.5745320373941025,0.26207002230279736
12410.0,309,2,693.3299999999999,1,High-Value,-1.1188256712809272,1.858923338164589
12412.0,75,3,1226.88,0,Regular,-0.10259753529044387,-0.21748326555316222
12413.0,67,3,758.1,0,Regular,-0.10510116762679102,-0.3109875446005192
12414.0,217,3,562.41,1,High-Value,-0.6900092530085808,1.03760913413966
12415.0,24,21,124914.53,2,At-Risk,10.368306954060216,5.198901270352008
12417.0,3,9,3649.1,0,Regular,0.8681999633522204,-0.6572165165474196
12418.0,113,1,668.58,0,Regular,-0.46198647510776925,0.06700322187186865
12420.0,64,1,600.39,0,Regular,-0.2802069119521424,-0.3794875136498253
12421.0,16,4,807.04,0,Regular,0.18024954727438885,-0.7531776403470585
12422.0,96,3,803.5600000000001,0,Regular,-0.2123261699744368,-0.046508153253762625
12423.0,1,8,1859.31,0,Regular,0.66223723423151,-0.7730345649654102
12424.0,163,2,1760.96,1,High-Value,-0.487832981202028,0.5857876626015878
12425.0,78,1,777.2,0,Regular,-0.3210806180593851,-0.24483429399945064
12426.0,195,1,582.73,1,High-Value,-0.7802505547147214,0.8051874303067914
12427.0,22,3,825.8,0,Regular,0.07100364959191928,-0.7151615936137801
12428.0,26,9,7956.46,0,Regular,1.0835194740457303,-0.25512019789694784
12429.0,9,4,3750.4,0,Regular,0.41388141109489757,-0.6839839333116824
12430.0,43,1,256.4,0,Regular,-0.22443584446466391,-0.5850145797880874
12431.0,36,15,6419.95,3,Occasional,1.4637103159691456,-0.1310649488185527
12432.0,43,5,5059.32,0,Regular,0.46418444566281203,-0.30023895093155323
12433.0,1,7,13375.87,0,Regular,1.3843674306685843,-0.2715691597303028
12434.0,85,2,806.14,0,Regular,-0.2579798496676754,-0.16306033241746157
12435.0,80,2,7829.89,0,Regular,0.2549714887555236,0.10797203537219542
12436.0,100,1,509.01,0,Regular,-0.42370809203727766,-0.05782429028924128
12437.0,2,18,4951.41,3,Occasional,1.7530596374272482,-0.45349737854799477
12438.0,14,2,2906.85,0,Regular,0.16008592714874498,-0.7109721386482776
12441.0,367,1,173.55,1,High-Value,-1.463939586692186,2.343257252654986
12442.0,3,1,172.06,0,Regular,-0.07806078106845718,-0.9507880337545382
12444.0,21,5,5005.46,0,Regular,0.5441652259762959,-0.5017508596525218
12445.0,22,1,133.4,0,Regular,-0.1531246657121716,-0.7805904706792521
12446.0,58,1,1002.3100000000001,0,Regular,-0.22909784250901302,-0.41568540796831266
12447.0,243,1,476.49,1,High-Value,-0.9704884628264813,1.2347741958065668
12448.0,44,1,449.45,0,Regular,-0.21466813314917255,-0.5672721515413577
12449.0,22,4,4067.29,0,Regular,0.3866658376728605,-0.5520723047205379
12450.0,156,2,197.88,1,High-Value,-0.5710959045171752,0.45205646724079623
12451.0,11,5,9035.52,0,Regular,0.8656372399393083,-0.410771245423867
12452.0,17,2,430.57,0,Regular,-0.0254700825875765,-0.7953308052418073
12453.0,134,1,707.09,0,Regular,-0.5392390267765972,0.2587745297654895
12454.0,56,1,3528.34,0,Regular,-0.04385103871262562,-0.3200371092405881
12455.0,73,6,2466.86,0,Regular,0.25537135976058106,-0.12837059388601368
12456.0,44,3,3181.04,0,Regular,0.15285689463287386,-0.41001858986514184
12457.0,66,7,2363.23,0,Regular,0.36245680997048974,-0.17925772564582615
12458.0,71,2,947.4,0,Regular,-0.19473932519732612,-0.2833908663768808
12461.0,94,2,826.88,0,Regular,-0.29079022885799116,-0.0806818949055443
12462.0,19,2,1189.59,0,Regular,0.020289233852849715,-0.7430533686626088
12463.0,53,4,1344.78,0,Regular,0.07718070730846706,-0.394135765426465
12464.0,10,8,1212.05,0,Regular,0.5824528094960149,-0.7207361539934314
12465.0,17,2,742.1899999999999,0,Regular,-0.0035568309816052476,-0.7812985629208858
12468.0,188,2,729.5400000000001,1,High-Value,-0.6555540566510182,0.7655776067006649
12471.0,2,30,19788.65,3,Occasional,3.8490514045689554,0.42012395378782447
12472.0,32,7,6572.11,0,Regular,0.7878870557214613,-0.297411225699888
12473.0,29,5,3928.0499999999997,0,Regular,0.4379401165738693,-0.47787148514975664
12474.0,17,18,7324.09,3,Occasional,1.8627928011666288,-0.21091478640729872
12475.0,54,1,723.38,0,Regular,-0.2334817305163816,-0.4644431827945194
12476.0,16,11,6816.42,0,Regular,1.2168662973119142,-0.3626999634746605
12477.0,23,6,13219.74,0,Regular,1.201900838127769,-0.09663815598667361
12478.0,4,1,680.99,0,Regular,-0.04608025312600287,-0.9188215354727252
12479.0,11,1,527.2,0,Regular,-0.08354836210898756,-0.8624009616173588
12480.0,28,4,3281.63,0,Regular,0.30857200739513957,-0.5331542148697689
